Date,Time,Open,High,Low,Close,Volume,RSI
2010.09.01,00:00,1.26893,1.26434,1.36825,1.36283,883856,50.27950251
2010.10.01,00:00,1.36289,1.36183,1.41515,1.39459,1151586,52.91626049
2010.11.01,00:00,1.39677,1.29694,1.42813,1.2981,1879653,45.09234546
2010.12.01,00:00,1.29811,1.29707,1.34969,1.33634,1724296,48.35155647
2011.01.01,00:00,1.3343,1.28738,1.37573,1.36908,1802061,51.03159489
2011.02.01,00:00,1.36907,1.34279,1.38607,1.38088,1602236,51.99837506
2011.03.01,00:00,1.38077,1.37429,1.42479,1.41737,1726357,54.95972257
2011.04.01,00:00,1.41734,1.40614,1.48809,1.48062,1407939,59.61095813
2011.05.01,00:00,1.48139,1.39691,1.49384,1.43957,1965741,55.59800747
2011.06.01,00:00,1.43955,1.40731,1.46955,1.45013,1937049,56.41093294
2011.07.01,00:00,1.45012,1.38371,1.45769,1.4396,1817426,55.32324318
2011.08.01,00:00,1.43804,1.40553,1.45482,1.43687,2240258,55.02700801
2011.09.01,00:00,1.43686,1.33624,1.43832,1.33845,2342476,45.55629314
2011.10.01,00:00,1.33431,1.31452,1.4246,1.38593,2213927,50.02490396
2011.11.01,00:00,1.38592,1.32123,1.38702,1.34449,2229873,46.44204356
2011.12.01,00:00,1.34447,1.28577,1.35456,1.29565,1695201,42.57206196
2012.01.01,00:00,1.29357,1.26241,1.3233,1.30824,1779140,43.87050666
2012.02.01,00:00,1.30823,1.30257,1.32168,1.31501,117321,44.59592671
