PseudoTicket,Action,Type,Symbol,Lots,Date,Price
75,CLOSE,BUY,EURUSD,1.0,2011-08-26 14:02:34,1.4399599999999999
76,OPEN,SELL,EURUSD,1.0,2011-08-26 14:46:57,1.4353
76,CLOSE,SELL,EURUSD,1.0,2011-08-26 15:45:37,1.4459200000000001
77,OPEN,BUY,EURUSD,1.0,2011-08-26 15:45:46,1.44709
77,CLOSE,BUY,EURUSD,1.0,2011-08-30 06:09:04,1.4514899999999999
78,OPEN,BUY,EURUSD,1.0,2011-08-30 08:33:18,1.4440599999999999
78,CLOSE,BUY,EURUSD,1.0,2011-08-30 09:46:08,1.4410799999999999
79,OPEN,SELL,EURUSD,1.0,2011-08-31 15:47:35,1.44093
79,CLOSE,SELL,EURUSD,1.0,2011-08-31 19:03:53,1.43777
80,OPEN,SELL,EURUSD,1.0,2011-09-01 07:16:58,1.4323600000000001
80,CLOSE,SELL,EURUSD,1.0,2011-09-01 22:39:28,1.4262300000000001
81,OPEN,BUY,EURUSD,1.0,2011-09-06 04:59:11,1.40595
81,CLOSE,BUY,EURUSD,1.0,2011-09-06 08:02:11,1.413
82,OPEN,SELL,EURUSD,1.0,2011-09-06 08:02:27,1.4178999999999999
82,CLOSE,SELL,EURUSD,1.0,2011-09-06 08:02:46,1.4278999999999999
83,OPEN,SELL,EURUSD,1.0,2011-09-06 09:32:54,1.4211
83,CLOSE,SELL,EURUSD,1.0,2011-09-06 10:12:05,1.4175
84,OPEN,BUY,EURUSD,1.0,2011-09-06 11:49:25,1.4133100000000001
84,CLOSE,BUY,EURUSD,1.0,2011-09-06 22:27:34,1.40011
85,OPEN,SELL,EURUSD,1.0,2011-09-07 06:04:52,1.40595
86,OPEN,SELL,EURUSD,1.0,2011-09-07 06:38:15,1.40716
86,CLOSE,SELL,EURUSD,1.0,2011-09-07 08:49:17,1.4088000000000001
85,CLOSE,SELL,EURUSD,1.0,2011-09-07 08:49:21,1.4088799999999999
87,OPEN,SELL,EURUSD,1.0,2011-09-07 09:08:53,1.41001
87,CLOSE,SELL,EURUSD,1.0,2011-09-07 10:43:01,1.4044399999999999
88,OPEN,SELL,EURUSD,1.0,2011-09-08 12:35:08,1.40056
88,CLOSE,SELL,EURUSD,1.0,2011-09-08 13:20:02,1.3995599999999999
89,OPEN,BUY,EURUSD,1.0,2011-09-12 02:19:19,1.35867
89,CLOSE,BUY,EURUSD,1.0,2011-09-12 09:49:10,1.3640000000000001
90,OPEN,SELL,EURUSD,1.0,2011-09-15 10:00:41,1.38097
90,CLOSE,SELL,EURUSD,1.0,2011-09-15 12:37:45,1.3796200000000001
91,OPEN,BUY,EURUSD,1.0,2011-09-15 13:06:25,1.385
91,CLOSE,BUY,EURUSD,1.0,2011-09-15 13:10:42,1.38595
92,OPEN,SELL,EURUSD,1.0,2011-09-15 13:30:17,1.38852
92,CLOSE,SELL,EURUSD,1.0,2011-09-15 21:57:16,1.3883799999999999
93,OPEN,SELL,EURUSD,1.0,2011-09-22 17:34:59,1.3477600000000001
93,CLOSE,SELL,EURUSD,1.0,2011-09-22 19:25:21,1.3440099999999999
