Provider Ticket,Broker Ticket,Type,Currency,Standard Lots,Date Open,Date Close,Price Open,Price Close,Highest Profit (Pips),Worst Drawdown (Pips),Interest ($),Profit (Pips),Profit ($)
400.1338154451245,12479864,BUY,GBP/USD,1,2012/06/01 08:28:02,2012/06/01 13:10:51,1.5305,1.53482,46,-37,0,43.2,432
400.1338153287068,12410536,BUY,EUR/USD,1,2012/05/30 07:58:08,2012/05/31 09:09:40,1.24584,1.24203,12,-101,-1.93,-38.1,-382.93
400.1338153319837,12412651,BUY,EUR/USD,1,2012/05/30 09:12:22,2012/05/31 08:41:47,1.24416,1.24146,29,-84,-1.93,-27,-271.93
400.1338153848455,12441341,BUY,GBP/USD,1,2012/05/31 07:09:15,2012/05/31 07:26:39,1.54898,1.54974,8,-5,0,7.6,76
400.1338153595506,12429498,BUY,EUR/USD,1,2012/05/30 20:26:56,2012/05/31 03:25:20,1.23676,1.23741,10,-10,-1.93,6.5,63.07
400.1338153447321,12420952,SELL,GBP/USD,1,2012/05/30 14:21:00,2012/05/30 14:48:21,1.55345,1.55267,10,-21,0,7.8,78
400.1338153451876,12421211,SELL,GBP/USD,1,2012/05/30 14:30:50,2012/05/30 14:37:40,1.55498,1.55344,15,-6,0,15.4,154
400.1338153135354,12400150,BUY,EUR/USD,1,2012/05/30 01:38:54,2012/05/30 06:31:35,1.24657,1.24722,11,-10,0,6.5,65
400.1338152801958,12381644,SELL,EUR/USD,1,2012/05/29 11:45:06,2012/05/29 12:09:08,1.25215,1.25212,4,-14,0,0.3,3
400.1338152693612,12376502,BUY,EUR/USD,1,2012/05/29 07:05:08,2012/05/29 09:14:52,1.25619,1.25606,12,-18,0,-1.3,-13
400.1338152221474,12364531,SELL,AUD/USD,1,2012/05/28 10:21:14,2012/05/28 11:46:37,0.9879,0.98737,8,-3,0,5.3,53
400.1338152051851,12358338,SELL,EUR/USD,1,2012/05/28 03:00:43,2012/05/28 08:08:20,1.25898,1.25752,18,-36,0,14.6,146
400.1338152113267,12360013,SELL,EUR/USD,1,2012/05/28 05:43:29,2012/05/28 06:05:45,1.2603,1.25967,7,-4,0,6.3,63
400.1337700197297,12346624,SELL,EUR/USD,1,2012/05/25 12:29:41,2012/05/25 12:36:14,1.25233,1.25088,15,-6,0,14.5,145
400.1337699797107,12331231,BUY,EUR/USD,1,2012/05/24 19:15:40,2012/05/24 19:31:19,1.25256,1.25412,17,-4,0,15.6,156
400.1337699547933,12315288,BUY,AUD/USD,1,2012/05/24 08:50:27,2012/05/24 09:14:41,0.97178,0.97395,25,-2,0,21.7,217
400.1337699519297,12313058,SELL,EUR/USD,1,2012/05/24 07:44:54,2012/05/24 07:57:48,1.25449,1.25419,9,-4,0,3,30
400.1337698727755,12272092,BUY,EUR/USD,1,2012/05/22 21:31:35,2012/05/23 12:36:08,1.26777,1.2654,8,-64,-0.63,-23.7,-237.63
400.1337698796380,12274470,BUY,EUR/USD,1,2012/05/23 00:23:25,2012/05/23 12:34:22,1.26611,1.26574,24,-47,0,-3.7,-37
400.1337698621616,12265495,BUY,AUD/USD,1,2012/05/22 17:45:23,2012/05/23 04:56:38,0.9838,0.97738,14,-98,5.6,-64.2,-636.4
400.1337547866515,12255175,SELL,EUR/USD,1,2012/05/22 09:05:51,2012/05/22 09:39:51,1.27602,1.27579,5,-14,0,2.3,23
400.1337547844050,12252501,SELL,GBP/USD,1,2012/05/22 08:08:15,2012/05/22 08:45:50,1.58341,1.58008,37,-4,0,33.3,333
400.1337547080673,12220759,SELL,EUR/USD,1,2012/05/20 21:02:19,2012/05/21 11:44:32,1.27653,1.2765,15,-49,0,0.3,3
400.1337547177919,12225690,SELL,EUR/USD,1,2012/05/21 01:36:59,2012/05/21 03:40:47,1.28085,1.27951,16,-5,0,13.4,134
400.1336944593458,12212771,SELL,GBP/USD,1,2012/05/18 12:30:50,2012/05/18 15:27:38,1.58266,1.58145,20,-12,0,12.1,121
400.1336944618045,12213501,SELL,GBP/USD,1,2012/05/18 13:31:12,2012/05/18 14:06:11,1.58325,1.58181,17,-6,0,14.4,144
400.1336944155225,12191279,BUY,GBP/USD,1,2012/05/17 15:07:28,2012/05/18 09:52:11,1.58114,1.58184,25,-80,0.62,7,70.62
400.1336943986835,12179630,BUY,GBP/USD,1,2012/05/17 12:30:39,2012/05/18 09:51:49,1.581,1.582,31,-79,0.62,10,100.62
400.1336944043760,12182313,BUY,GBP/USD,1,2012/05/17 09:53:33,2012/05/18 09:51:49,1.58782,1.582,2,-147,0.62,-58.2,-581.38
400.1336944293829,12198349,BUY,GBP/USD,1,2012/05/17 21:51:27,2012/05/18 09:45:29,1.5784,1.5805,25,-53,0.62,21,210.62
400.1336943748093,12163728,BUY,AUD/USD,1,2012/05/16 18:54:52,2012/05/17 00:05:56,0.99229,0.99327,10,-25,17.07,9.8,115.07
400.1336943651425,12158537,SELL,AUD/USD,1,2012/05/16 14:23:24,2012/05/16 15:05:54,0.99623,0.99278,38,-7,0,34.5,345
400.1336943549774,12152151,BUY,GBP/USD,1,2012/05/16 09:31:31,2012/05/16 10:43:18,1.59179,1.59236,8,-30,0,5.7,57
400.1336943483238,12146026,BUY,AUD/USD,1,2012/05/16 06:21:09,2012/05/16 09:20:42,0.9895,0.99194,27,-26,0,24.4,244
400.1336943393527,12137905,BUY,GBP/USD,1,2012/05/16 01:42:21,2012/05/16 08:15:38,1.59794,1.5971,0,-47,0,-8.4,-84
400.1336943510437,12148767,BUY,GBP/USD,1,2012/05/16 07:39:54,2012/05/16 08:04:11,1.59373,1.5966,29,-2,0,28.7,287
400.1336942644550,12091607,SELL,USD/CHF,1,2012/05/14 12:16:20,2012/05/15 07:51:22,0.93357,0.93367,0,-38,-1.4,-1,-12.11
